Maros Roland
0 60
Nagy Andor
1 31
Gipsz Jakab
1 75
Balogh Benedek
2 70
Szalai Domonkos
0 75
Naszvadi Antal
9 65
Kiss Bertold
6 85
Kazsuba Vince
11 74
Tornai Tibor
3 65
Horgas Vencel
0 80
Bali Zsombor
0 20
Bende Norbert
12 32
Bodrogi Attila
0 0
Grimm Tibor
7 41
Varga Imola
0 68
Papp Bernadett
10 62
Tenke Lujza
2 7
Torma Vince
5 8
Remek Elek
9 8
Nemes Luca
8 49
Kondoros Aliz
5 7
Tatai Benedek
3 9
Debreceni Vilma
2 31
Palotai Ferenc
0 83
Morva Alfonz
0 35
Erdei Matild
3 8
Balsai Patrik
7 7
Csikai Zsolt
5 7
Volner Rudolf
0 7
Ugrai Erika
4 9
Zsila Dorottya
16 29
Nemoda Buda
8 51
